,identifier,text,keywords
10,AFP_ENG_19960820.0485,"Child care groups attack child prostitution. British child aid groups Tuesday called for stronger laws and police controls on child prostitution around the world in the run-up to a world congress in Stockholm August 27-31 on sexual exploitation of children. The groups - Save the Children, Christian Aid and Barnados - stressed the ""key role"" that poverty plays in Third World countries, where burgeoning ""sexual tourism"" entraps destitute young children. The statements came as a major investigation unfolded into international pornography and a suspected pedophile ring in Belgium following the discovery of the bodies of two little girls and the rescue of two others from a so-called sex dungeon. ""Throughout Asia, Africa, Latin America and Europe there has been a growth in the number of children involved in the sex trade,"" said a Save the Children report entitled ""Kids for Hire."" ""This includes not only prostitution, but child trafficking and the use of children in pornography,"" it said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
11,AFP_ENG_19960822.0663,"US to attend child sexual exploitation conference. The United States will join more than 100 countries next week in Stockholm, Sweden, in a concerted bid to combat the sexual exploitation of children around the world. Set to open Tuesday, the World Congress on Commercial Sexual Exploitation of Children will focus on steps governments should take to counter child pornography, prostitution and sex tourism. ""This important conference will strengthen our ability to bring the exploiters of children to justice,"" said US Attorney General Janet Reno in a statement on Thursday. ""Adults who prey on children will find no safe haven anywhere in the world."" The announcement of US participation comes on the heels of a report saying that US men top the list of child sex abusers arrested in Asia within the last eight years. Prepared by the group ""End Child Prostitution in Asian Tourism"" for next week's conference, the report says that 58 of 240 men arrested for sex crimes involving juveniles came from the United States.","{'sexual exploitation', 'exploitation', 'participation'}"
12,AFP_ENG_19960829.0177,"Egyptian girls sold for summer weddings to wealthy Gulf Arabs (picture) by Lamia Radi. Every summer hundreds of Egyptian girls are sold by their parents to wealthy Gulf Arabs for ""pleasure weddings,"" but by the end of the tourist season the young women are sent packing. ""It is the worst form of child trafficking because it is committed with the blessing of the parents,"" the general secretary of the Egyptian Human Rights Organisation, Mohammad Gueneidi, told AFP. ""It is a problem which must be examined by the International Congress Against Commercial Sexual Exploitation of Children in Stockholm,"" Gueneidi said. The 1,200 delegates from 126 countries at the Stockholm conference pursued meetings on Thursday to further define a plan to fight the growing child sex industry -- a fate that has hit some two million young people worldwide. Observers said Friday will open a critical point of the conference when the commitment by individual states to curtailing child sexual exploitation will start to emerge when delegates break up into meetings at the regional and national level to draw up concrete action plans.","{'trafficking', 'sexual exploitation', 'exploitation'}"
13,AFP_ENG_19960829.0507,"The child sex exploiter: a profile by Pia Ohlin. The sexual exploitation of children is one of the most heinous crimes in the world. But the evidence shows that is not committed by ""monsters"", but by people with everyday backgrounds. ""You talk about them as monsters. But that is wrong. Monsters don't get close to children, nice men do,"" said Ray Wyre, a British sexual crime consultant attending the World Congress Against the Sexual Exploitation of Children. Child sex exploiters are found among many groups of people: local prostitute users, the military, seamen and truckers, migrant workers, travelling businessmen, tourists, aid workers, expatriates and employers of domestic workers, just to name a few. The illicit world of prostitution, frequented primarily by men, provides an arena in which the laws and rules which constrain sexual practice can be evaded, attracting many paedophiles to child prostitution, according to End Child Prostitution in Asian Tourism (ECPAT). However, ""it can not be assumed"" that every exploiter of child prostitution is a paedophile, said Julia O'Connell Davidson, a British researcher on motives for prostitution.","{'domestic work', 'sexual exploitation', 'exploitation'}"
14,AFP_ENG_19960831.0203,"Congress on child sexual exploitation closes. Sweden's Queen Silvia on Saturday closed the first World Congress Against Commercial Sexual Exploitation of Children, calling for increased ""collaboration, coordination, and cooperation"" to end the children's plight. The conference, organised by the Swedish government, End Child Prostitution in Asian Tourism (ECPAT) and UNICEF, had gathered 1,200 delegates from 126 countries and more than 50 non-governmental organisations (NGOs) in Stockholm for five days to find ways to stamp out the problem. Queen Silvia called for ""forceful action"" at ""all levels of society"" to stamp out the ""atrocious and horrifying business with innocent children around the world."" ""As long as there is any child being sexually exploited, there is work to do,"" she stressed. About two million children worldwide are believed to be caught in the web of prostitution, sexual abuse, child trafficking and sex tourism, of whom about one million are in Asia.","{'trafficking', 'sexual exploitation', 'exploitation'}"
15,AFP_ENG_19960908.0373,"Germany calls for harmonising child sex abuse laws. Germany on Sunday called for European Union (EU) laws on paedophilia to be harmonised and for closer cooperation between member states. ""Child prostitution and pornography are the huge black marks on the civilisation of European countries,"" German Foreign Minister Klaus Kinkel said here following an informal meeting of EU foreign ministers. The Irish presidency of the EU said that, as early as Friday, member states would study ways to combat sexual exploitation of children as part of the Europol intelligence agency aimed at fighting cross border terrorism, drug trafficking and organised crime. During the next informal meeting of EU justice and interior ministers in Dublin on September 26 and 27 the subject will be raised again. Kinkel suggested that, like Germany, all EU member states should adopt legislation which allows them to try paedophilia cases even if they are committed in foreign countries, notably Asia and Latin America in attempt to fight sexual tourism.","{'trafficking', 'sexual exploitation', 'exploitation'}"
16,AFP_ENG_19961005.0136,"Congress warns of disturbing rise in east Europe sex trade. An international congress on sexual exploitation and prostitution in Hungary this weekend has sounded the alarm over a surge in the trafficking of women for the sex trade in eastern Europe. Since the downfall of communism and the move towards market economies in eastern European countries, which has caused a disturbing rise in poverty, women are becoming easy prey for recruiters seeking ""dancers"" ""hostesses"" or ""variety artists"" to work in the west, delegates said Saturday. ""We want to draw the attention of governments to the growth of the trafficking in women in central and eastern Europe,"" said Zsuzsa Kadar, one of the Hungarian organisers of the congress. The two-day conference on Friday and Saturday has been organised under the umbrella of the International Migration Organisation and the Global Alliance Against Trade in Women, and has delegates taking part from Austria, Belgium, Hungary, Poland, Slovakia and Ukraine. Participants decided to set up cooperation between non-governmental organisations in their countries involving the establishment of a system of prevention and a service to help those who beccome victims of the sex trade.","{'trafficking', 'sexual exploitation', 'exploitation'}"
17,AFP_ENG_19961005.0153,"Congress warns of disturbing rise in east Europe sex trade. An international congress on sexual exploitation and prostitution in Hungary this weekend has sounded the alarm over a surge in the trafficking of women for the sex trade in eastern Europe. Since the downfall of communism and the move towards market economies in eastern European countries, which has caused a disturbing rise in poverty, women are becoming easy prey for recruiters seeking ""dancers,"" ""hostesses"" or ""variety artists"" to work in the west, delegates said Saturday. ""We want to draw the attention of governments to the growth of the trafficking in women in central and eastern Europe,"" said Zsuzsa Kadar, one of the Hungarian organisers of the congress. The two-day conference on Friday and Saturday has been organised under the umbrella of the International Migration Organisation and the Global Alliance Against Trade in Women, and has delegates taking part from Austria, Belgium, Hungary, Poland, Slovakia and Ukraine. Participants decided to set up cooperation between non-governmental organisations in their countries involving the establishment of a system of prevention and a service to help those who beccome victims of the sex trade.","{'trafficking', 'sexual exploitation', 'exploitation'}"
18,AFP_ENG_19961214.0130,"EU ministers wrap up summit after crucial single currency accord by Angus MacKinnon. European Union leaders on Saturday wrapped up a two-day landmark summit that left the bloc firmly on course for monetary union in 1999 but made little headway in defining the next steps towards political integration. Most European Union countries still face uphill struggles to meet the economic convergence targets for economic and monetary union (EMU) by the end of next year. But the accord by the 15 heads of state and government on a ""stability pact"" to enforce fiscal discipline among countries that adopt the euro removed the final technical obstacles to the project, preempting a new wave of speculation about whether it would have to be postponed. In a concurrent sign that EMU was firmly on track, the European Monetary Institute unveiled the first sketches of the Euro, a user- friendly new money in seven denominations, sizes and colors destined to become the coin of Europe. The summit, acting largely on recommendations submitted by the Irish EU presidency, also called for tough new measures to fight drug- trafficking, organized crime, sexual exploitation and exploitation of children.","{'trafficking', 'sexual exploitation', 'exploitation'}"
19,AFP_ENG_20011211.0875,"UNICEF calls for concerted action to end sexual exploitation of children. The UN children's fund UNICEF called Tuesday for coordinated global action to stamp out the commercial sexual exploitation of children estimated to trap one million youngsters a year. ""Millions of children throughout the world are being bought and sold like chattels and used as sex slaves,"" UNICEF director Carol Bellamy said. ""Zero tolerance means ending the trafficking of children, their sale and barter and imprisonment and torture,"" she said in a statement on the eve of the publication of a report giving details of the scope of the problem. The report, ""Profiting from Abuse"", comes ahead of the Second World Congress against the commercial sexual exploitation of children, to be held in Yokohama, Japan, from December 17 to 20. Accurate statistics are hard to come by because such exploitation is a clandestine business in which ""children are frequently shuttled through underground networks of traffickers,"" the statement said.","{'trafficking', 'sexual exploitation', 'exploitation'}"
20,AFP_ENG_20011212.0205,"Children sold as ""chattels"" into worldwide sex trade: UNICEF. The UN children's fund UNICEF called Wednesday for coordinated global action to stamp out the commercial sexual exploitation of children, issuing a report ahead of a major conference to be held in Japan next week. ""Millions of children throughout the world are being bought and sold like chattels and used as sex slaves,"" UNICEF director Carol Bellamy said. ""Zero tolerance means ending the trafficking of children, their sale and barter and imprisonment and torture,"" she added, announcing a report entitled ""Profiting from Abuse"". Accurate statistics are hard to come by because such exploitation is a clandestine business in which ""children are frequently shuttled through underground networks of traffickers,"" the statement said. ""Nevertheless, it is estimated that approximately one million children, mostly girls, enter the multi-billion-dollar commercial sex trade every year.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
21,AFP_ENG_20011212.0250,"Poverty the main motor of world child sex trade: UNICEF. Although the causes of the sexual exploitation and abuse of children are many and complex, it comes as no surprise that most of the most flagrant examples cited in a UNICEF report relate to the world's poorest countries. Michael, an 11-year-old boy from Albania, one of Europe's most impoverished states, admits that whatever money he is allowed to keep from his work as a prostitute in the Greek city of Salonika goes straight home. ""I must work to make money for my mother,"" he says. In Thailand, the report says that women from rural areas who find themselves working as prostitutes in the cities -- many of whom are children -- are estimated to send back 300 million dollars in income each year to their families. And in Kenya, long one of the better-off countries in east Africa, worsening economic conditions have left many families struggling, fuelling a supply of children into the sex trade such as the port of Mombasa. The United Nations Children's Fund (UNICEF), which highlights the problem in a report released Wednesday, lists ""poverty, gender discrimination, war, organized crime, globalization, greed, traditions and beliefs, family dysfunction and the drugs trade"" as the most common causes.","{'sexual exploitation', 'discrimination', 'exploitation'}"
22,AFP_ENG_20011214.0068,"3,000 expected at conference on sexual exploitation of children. Nearly 3,000 people are expected in Yokohama, Japan, next week to attend the Second World Congress against Commercial Sexual Exploitation of Children, UNICEF said Friday. ""The overwhelming response to the Yokohama congress is a sign that at all levels... there is real determination to step up efforts and meet this challenge"", said Samuel Koo, Japan Office Director for the United Nations Children's Fund. ""We have much to do before this heinous violation of children's rights is eliminated or even significantly reduced"". Queen Silvia of Sweden will attend the initial stages of the congress, which will review progress since the first world congress in Stockholm in 1996. The congress will also look at global strategies to stem the swiftly developing exploitation of children in prostitution, pornography and through trafficking.","{'trafficking', 'sexual exploitation', 'exploitation'}"
23,AFP_ENG_20011217.0118,"Sexual exploitation of children a ""form of terrorism"" by Claudine Dreuilhe. Children exploited for prostitution or pornography are victims of a form of terrorism, participants in a major international conference aimed at combatting the sexual exploitation of children said here Monday. ""Terrorism according to my Chamber's dictionary is an organized system of violence and intimidation and the state of fear and submission caused by this,"" said Princess Takamado, who is married to a cousin of Japanese Emperor Akihito at the opening of the Second World Congress against Sexual Exploitation of Children in Yokohama. ""If that is the case, then all exploited children, especially those who are sold and exploited for sexual purposes, are the victims of a form of terrorism."" Governments and non-governmental organisations (NGOs) should fight to protect the fundamental rights of children in the same way the world combats terrorism to protect people's rights, said the princess, who is active in promoting child protection in Japan. ""On September 11th, the world was shaken by the acts of terrorism against the United States. For many who were in New York at the time, it was a traumatic experience and I have heard words to the effect that 'nothing will ever be the way it was before' repeated over and over again,"" Takamado said.","{'sexual exploitation', 'violence', 'exploitation'}"
24,AFP_ENG_20011218.0041,"More to sexual exploitation than sex tourism: UNICEF executive by Claudine Dreuilhe. Refiling with date in dateline /// YOKOHAMA, Japan, Dec 18 (AFP) - The sexual exploitation of children is a global problem that goes well beyond the problem of sex tourism, according to the director-general of the United Nations Children's Fund. ""Sexual exploitation is far more than sex tourism,"" Carol Bellamy said in an interview with AFP between working sessions of the Second World Congress against Commercial Sexual Exploitation of Children here. ""Sex tourism is the person from a western country coming to Cambodia (for sex), but sexual exploitation can be kids from Nigeria taken to Italy for prostitution; it can be trafficking of kids from Morocco to be domestic helps but largely held as sexual slaves; it can be in conflict countries where boys are taken to be soldiers and girls are taken to provide sex."" The four-day congress is a follow-up to the first such conference against sexual exploitation of children, held in Stockholm, Sweden in 1996, and has attracted over 3,300 delegates from governments, international bodies and non-governmental organisations.","{'trafficking', 'sexual exploitation', 'exploitation'}"
25,AFP_ENG_20011220.0236,"Youth speak out against sexual exploitation. Young people attending an international congress against the commercial sexual exploitation of children Thursday urged adults to build a world without sexual abuse. The representatives of 90 young people aged between 12 and 24 addressed hundreds of delegates at the closing session of the four-day Second World Congress against Commercial Sexual Exploitation of Children. ""When shall we have a world in which life is based on a sense of caring, sharing, true love and the protection of all societies and individuals from all forms of abuse, discrimination and exploitation - a world free from commercial sexual exploitation?"" they said, taking turns to read a declaration. ""The importance of the participation of children and young people cannot be over-emphasized with particular reference to the experiental young people,"" who have been victims of sexual exploitation, ""who really are experts on the issue at hand,"" the declaration said. They acted out a sketch showing adults -- women as well as men -- using children as sex slaves for profit to drive home their message.","{'sexual exploitation', 'discrimination', 'exploitation', 'participation'}"
26,AFP_ENG_20020109.0503,"Balkans key in trafficking of women from eastern Europe: UN report. The Balkans plays a key role in the trafficking of women from eastern Europe for the sex industry, a new report by the International Organisation for Migration (IOM) said Wednesday. A lack of border controls, the presence of international troops and economic need have helped make the region both a place of destination and transit to western Europe for the women, the study said. Covering 28 countries, it is the first report of this scale to have been carried out in the region on the subject of trafficking of women and children for sexual exploitation, IOM said. ""The Balkans and neighbouring countries play a key role in this trade,"" it noted. Bosnia and Herzegovina and Kosovo are the primary destinations for trafficked women in the region. But it noted that all the countries were places of origin, transit and destination to some extent.","{'trafficking', 'sexual exploitation', 'exploitation'}"
27,AFP_ENG_20020109.0509,"Balkans key in trafficking of women from eastern Europe: IOM. CORRECTS headline /// GENEVA, Jan 9 (AFP) - The Balkans plays a key role in the trafficking of women from eastern Europe for the sex industry, a new report by the International Organisation for Migration (IOM) said Wednesday. A lack of border controls, the presence of international troops and economic need have helped make the region both a place of destination and transit to western Europe for the women, the study said. Covering 28 countries, it is the first report of this scale to have been carried out in the region on the subject of trafficking of women and children for sexual exploitation, IOM said. ""The Balkans and neighbouring countries play a key role in this trade,"" it noted.","{'trafficking', 'sexual exploitation', 'exploitation'}"
28,AFP_ENG_20020115.0494,"Sex-slave trade flourishing in the Balkans. Trafficking of women and children as sex slaves is the fastest-growing crime in the Balkan region, fuelled by lack of information and complicity with authorities, an international study revealed Tuesday. Nearly 6,000 women and children were victims of trafficking for sexual exploitation across Europe in 2000, Irena Vojackova of the Geneva- based International Organisation for Migration (IOM) told a press conference in Vienna. Trafficking in human beings is the fastest-growing source of income for criminal networks, according to Helga Konrad, chair of the Stability Pact for Southeastern Europe Task Force on Trafficking in Human Beings, which sponsored the IOM study. The study, which collected information from international organisations and non-government organisations as well as official sources, found the official sources were only aware of around half of Europe's main trafficking routes. It also found that many authorities were involved in the crime. In Albania, around 11 of 125 trafficked women said that police escorted them along the way.","{'trafficking', 'sexual exploitation', 'exploitation'}"
29,AFP_ENG_20020115.0554,"Sex-slave trade flourishes in the Balkans: report. ADDS background, quotes /// VIENNA, Jan 15 (AFP) - Trafficking of women and children as sex slaves is the fastest-growing crime in the Balkans, fuelled by authorities' involvement and lack of cross-border coordination, an international study said Tuesday. Nearly 6,000 women and children were victims of trafficking for sexual exploitation across Europe in 2000, Irena Vojackova, of the Geneva- based International Organisation for Migration (IOM), which conducted the study. Of them, 1,297 came from the Balkans region alone, the majority from Albania and Moldova. The study also found that figures were on the rise over the last year, Vojackova told a press conference. ""Behind these black figures lies a gray landscape of abuse committed by clandestine businessmen of the sex industry,"" said Helga Konrad, chair of the Stability Pact for Southeastern Europe Task Force on Trafficking in Human Beings, which sponsored the study.","{'trafficking', 'sexual exploitation', 'exploitation'}"
30,AFP_ENG_20020117.0198,"Military rule, conflict and discrimination mar South Asia rights. Religious and caste violence in India, tightened military rule in Pakistan and ethnic bloodshed in Sri Lanka tainted the human rights situation in South Asia in 2001, Human Rights Watch (HRW) said in its annual report. While praising India for holding fast to its ""vibrant and stable democracy"" even as its neighbours experienced dramatic and often violent shifts in power, the New York-based watchdog also listed numerous rights violations in the world's second most populous country. Police violence, attacks on India's minority communities -- specifically Muslims, Christians and lower castes -- continued to be ""serious problems,"" said the report released Wednesday. Violence against Indian women, including rape, kidnapping, dowry deaths, domestic violence, female foeticide and human trafficking ""continued unabated,"" although the report said some ""positive steps"" had been taken to help better ensure women's and children's rights. Increased violence in India's most populous state of Uttar Pradesh in the run-up to key elections there in February this year ""highlighted the dangerous results of exploiting communal and caste tensions for political ends.""","{'trafficking', 'violence', 'discrimination'}"
31,AFP_ENG_20020308.0114,"Cambodia's Queen Monique appeals for an end to female trafficking. Cambodia's Queen Norodom Monineath Sihanouk on Friday appealed for an end to all forms of domestic violence and trafficking in women, while urging their participation in a prosperous society. ""Some women still face hardship in their lives, such as poverty, and a vulnerability to domestic violence, mental and physical abuses, and trafficking,"" the queen said in a national speech to mark International Women's Day. The revered queen -- who rarely makes public statements -- said violence and trafficking costs Cambodian women and girls their dignity and leads to a breakdown in family values. Cambodia, one of the poorest countries in Asia, is beset by prostitution and trafficking which prompted prime minister Hun Sen to crack down on illegal discos, bars, karaoke nightspots in December last year. ""We must try our best to prevent and eliminate violence against women in order to build a good and prosperous society,"" she said.","{'trafficking', 'violence', 'participation'}"
32,AFP_ENG_20020308.0262,"Red Cross says women beneficiaries should be more involved in aid programmes. The International Committee of the Red Cross called Friday for women to become more involved in humanitarian aid programmes aimed at helping them as a way of protecting them from sexual exploitation and abuse. In a statement issued for International Women's Day, the agency said greater participation of women in aid programmes ""would allow a better understanding of (women's) problems and needs and assure that any situations of exploitation or abuse would be immediately detected."" In spite of specific protections offered under international law, ""women are regularly victims of physical violence, are forced to leave their homes, (are victims of) blind killing sprees and other atrocities,"" the statement added.","{'sexual exploitation', 'violence', 'exploitation', 'participation'}"
33,AFP_ENG_20020514.0204,"Sharon comforted by opinion poll in battle with rival Netanyahu(PICTURES). Israeli Prime Minister Ariel Sharon was comforted Tuesday by an opinion poll favouring him over Likud party rival Benjamin Netanyahu over the question of a Palestinian state. The poll in the mass-circulation daily Yediot Aharonot followed Sunday's rejection of such a state by Likud's 2,600-strong central committee in a resolution backed by Netanyahu. It was published as Sharon was due to make a policy address to the Israeli parliament later Tuesday. An Israeli official said the prime minister would stress his support for a regional peace conference sponsored by the United States, the European Union and Russia with the participation of the Palestinians and Arab states favouring peace. But a complete halt to violence and a total reform of the Palestinian Authority and leadership were required before negotiations could begin, the official said.","{'violence', 'leadership', 'participation'}"
34,AFP_ENG_20020515.0559,"Women bearing brunt of human trafficking tragedy: Pope by Denis Barnett. Pope John Paul II highlighted the sexual exploitation of women and children as the one of the most serious problems posed by worldwide trafficking in human beings, in a message read to an international conference here Wednesday. ""The alarming increase in the trade in human beings is one of the pressing political, social and economic problems associated with the process of globalisation,"" the pope said in a message delivered by Vatican Foreign Minister Monsignor Jean Louis Tauran. ""In particular the sexual exploitation of women and children is particularly repugnant aspect of this trade and must be recognized as an intrinsic violation of human rights,"" read the pope's message. The two-day conference in Rome, ""21st Century Slavery, The Human Rights Dimension to Trafficking in Human Beings"", organised by the US embassy to the Holy See and the Vatican, will hear from experts from 35 countries. The conference host, Washington Ambassador to the Holy See James Nicholson, said his goal was ""to elevate awareness worldwide about what is really going on.""","{'trafficking', 'sexual exploitation', 'exploitation'}"
35,AFP_ENG_20020515.0763,"Pope urges tougher laws, punishment, to counter traffickers by Denis Barnett. ADDS details on media appeal /// ROME, May 15 (AFP) - In a keynote message to an international conference on human trafficking, Pope John Paul II called Wednesday for tougher laws to counter trafficking and the punishment of those who profit from it. The pope highlighted sexual exploitation of women and children as the one of the most serious problems posed by the global trafficking of up to two million people a year, in a message delivered by Vatican Foreign Minister Monsignor Jean Louis Tauran. He said the conference reflected ""the growing international consensus that the issue of human trafficking must be addressed by promoting effective juridical instruments to halt this iniquitous trade, to punish those who profit from it and assist in the reintegration of its victims."" The two-day conference in Rome, ""21st Century Slavery, The Human Rights Dimension to Trafficking in Human Beings"", organised by the US embassy to the Holy See and the Vatican, was expected to hear from experts from 35 countries.","{'trafficking', 'sexual exploitation', 'exploitation'}"
